num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
213 J0601-0527 90.495759 -5.464044 0.395969 5e-13 1.30e-15 5e-21 80.54 0.005 15.800 0.0 22.70 0.9 2.60 0.5 -1.74 0.08 42.31144415925548
214 J0605+37 91.25 37.0 0.002730 0.0 * 0.0 21.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 46.03604311693642
215 J0608+00 92.204167 0.65 1.076200 0.0 * 0.0 48.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 42.31144415925548
216 J0609+2130 92.495359 21.500789 0.055698 2e-14 2.35e-19 2e-21 38.73 0.02 1.600 0.0 0.80 0.1 * 0.0 * 0.0 63.616150197190464
217 J0610-2100 92.556648 -21.007759 0.003861 6e-16 1.24e-20 6e-23 60.67 0.0017 0.200 0.0 * 0.0 0.40 0.2 * 0.0 30.54171145298371
218 J0610+37 92.75 37.3 0.443861 1.4e-05 * 0.0 39.00 2.0 * 0.0 1.30 0.0 * 0.0 * 0.0 46.03604311693642
219 J0611+04 92.825 4.1 1.674430 0.0 * 0.0 69.90 0.0 81.000 0.0 * 0.0 * 0.0 * 0.0 43.950267700635095
220 J0611+1436 92.827704 14.614444 0.270329 3e-11 4.00e-15 3e-18 45.70 0.7 11.600 0.0 * 0.0 1.10 0.0 * 0.0 67.78770102979311
221 J0611+30 92.816667 30.266667 1.412090 3e-06 * 0.0 45.26 0.0016 * 0.0 1.40 0.0 * 0.0 -3.20 0.6 47.674866658316034
222 J0612+3721 93.202861 37.360377 0.297982 1.8e-13 5.95e-17 1.8e-21 27.15 0.00034 5.300 0.0 16.00 1.0 4.00 2.0 -1.50 0.2 46.03604311693642
223 J0613-0200 93.433233 -2.01312 0.003062 9e-18 9.59e-21 1.5e-25 38.78 6e-05 0.462 0.001 21.00 2.0 2.30 0.3 -1.80 0.0 40.821604576183105
224 J0613+3731 93.300625 37.527306 0.619198 7e-11 3.24e-15 2e-18 18.99 0.012 11.000 0.0 1.60 0.8 0.13 0.06 -1.80 1.2 46.03604311693642
225 J0614+2229 93.5715 22.51 0.334960 1.6e-10 5.94e-14 1.2e-18 96.91 0.04 6.200 0.0 29.00 1.0 3.30 0.2 -1.77 0.05 60.934438947660176
226 J0614-3329 93.543116 -33.498366 0.003149 9e-15 1.75e-20 7e-22 37.05 0.001 * 0.0 * 0.0 * 0.0 * 0.0 27.711016245146197
227 J0614+83 93.5 83.233333 1.039203 5.1e-05 * 0.0 44.00 1.0 * 0.0 1.90 0.0 * 0.0 * 0.0 31.73358311944161
228 J0621+0336 95.296754 3.612644 0.269954 9e-13 7.24e-18 6e-20 72.59 0.13 3.440 0.0 * 0.0 1.00 0.3 * 0.0 52.144385407533164
229 J0621+1002 95.342143 10.044093 0.028854 1.6e-15 4.73e-20 5e-23 36.47 0.03 9.150 0.0 * 0.0 1.90 0.3 -1.90 0.0 61.23240686427466
230 J0621+25 95.25 25.0 0.002720 0.0 * 0.0 83.60 0.0 * 0.0 * 0.0 * 0.0 * 0.0 56.76288811505753
232 J0622+3749 95.543792 37.820444 0.333208 6e-12 2.54e-14 5e-19 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 46.18502707524366
233 J0623+0340 95.944829 3.668556 0.613760 7e-12 8.84e-17 3e-20 54.00 4.0 18.780 0.0 * 0.0 0.27 0.08 * 0.0 57.060856031671996
234 J0624-0424 96.083451 -4.414015 1.039076 1.5e-12 8.30e-16 1.2e-20 70.83 0.011 5.200 0.0 4.90 0.5 1.40 0.3 -1.00 0.5 50.50556186615355
235 J0625+10 96.4375 10.266667 0.498397 3e-06 * 0.0 78.00 15.0 * 0.0 * 0.0 0.09 0.0 * 0.0 64.51005394703388
236 J0627+0649 96.973452 6.831703 0.346523 1.3e-11 1.70e-15 3e-18 86.60 0.08 6.330 0.0 * 0.0 1.89 0.57 * 0.0 61.23240686427466
237 J0627+0706 96.934237 7.103528 0.475874 1.2e-10 2.98e-14 1e-17 138.25 0.07 5.200 0.0 6.00 0.0 1.39 0.08 -1.60 0.2 61.23240686427466
238 J0627+16 96.804167 16.2 2.180000 0.0 * 0.0 113.00 0.0 0.300 0.0 * 0.0 * 0.0 * 0.0 59.146631447973334
