# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0406+6138 61.62 61.64 0.594576 65.41 65.32 0.15360596529284162 0.092 55237 75.7 -1.2 0 116.18 32.037 19.935 10.0 128.65852620511407 157.59613772216653 0.7951929777168044 0.9591907857506655 14.21365798615938 1.8691376089811795 17.6068472072 15.00 2.80 3 9120 catalog -0.808288 0.025398 5.57e-15 * 1.84e+12 200 0
J0408+552 62.0 55.0 0.754 64.0 63.763 0.19479241986020723 0.418 55343 78.3 * 0 120.8 88.606 47.133 23  * 23.58149 4.58431 0.96 15.75984 3.48293 * * * 1 13534 catalog * * * * * 200 0
J0410-31 62.66 -31.1 1.8785 9.2 8.964 0.48530180465172323 0.47 56902 55.664844 * 0 70.45 49.425 25.72 5.0 * 44.67542904727818 3.0158908812877803 0.9598985555059872 7.824319576506314 1.9976937223263014 * * * 2 115009 catalog * * * * * 200 0
J0413+58 63.25 58.0 0.687 57.0 57.0 0.1774832791033984 0.435 55263 75.2 * 0 116.48 55.32 21.062 17.0 * 8.846166075003437 4.333187738238209 0.9593764717581631 4.07066412932588 2.0626369963816518 * * * 1 11416 catalog * * * * * 200 0
J0414+31 63.53 31.51 1.081 64.0 64.11 0.2792713605688117 0.0 56184 73.8 * 0 69.5 49.27 19.849 9.0 * 12.573027910270397 3.2346688709483753 0.9597248737414517 0.7534564360400666 0.2310467677696727 * * * 2 36269 gbncc * * * * * 200 0
J0415+6954 63.98 69.9 0.390715 27.45 27.44 0.10093941687756085 0.052 55163 75.8 -1.8 0 99.2 11.385 4.388 6.0 94.88709604880025 112.00381136983343 0.537562996556443 0.9582749544178895 6.02350100016919 0.947190987757073 8.13889561592 6.40 0.50 2 4651 catalog -1.863577 0.038206 7.66e-17 * 1.75e+11 200 0
J0417+35 64.42 35.75 0.6544 48.53 48.63 0.16906121957098094 0.252 55683 65.16582 -2.4 0 99.95 17.748 8.029 5.0 * 19.194563305797427 1.381779399974552 0.9593193079111773 1.606513829093777 0.2866523011218627 * * * 3 31334 catalog * * * * * 200 0
J0417+61 64.25 61.13 0.440283 71.0 70.14 0.11374508089298625 0.033 55249 75.0 * 2 113.35000000000001 38.45 19.093 20.0 10.199922835855084 6.834650944239194 1.130809120765373 0.9586089829735228 0.8253184050687775 0.1751264646650765 1.88225114031 1.50 * 1 9442 catalog * * * * * 200 0
J0421-0345 65.38 -3.75 2.161308 44.61 44.3 0.5583639461315979 0.191 57154 37.204883 -1.9 1 73.58000000000001 47.614 27.444 4.0 82.53347804145967 53.65174979054201 0.7143342272005593 0.9599212505330413 2.798718627133237 0.7185981327167416 7.8191382471045845 6.00 0.50 2 81129 catalog * * 1.16e-15 * 1.60e+12 200 0
J0426+4933 66.52 49.56 0.922475 85.0 84.29 0.23831715850204868 0.241 55538 71.3 * 2 120.65 27.592 13.81 7.0 11.424799036012745 12.17006583641853 1.4556234158373116 0.9596336844721485 1.422850383679319 0.25326355453521987 2.00565202437 * 0.19 2 18126 catalog * * 3.93e-14 * 6.10e+12 200 0
J0448-2749 72.17 -27.8 0.450448 26.22 26.22 0.11637116172571704 0.251 56809 73.5 -0.0 1 77.0 18.701 6.346 8.0 16.304476152207357 14.692786645672275 1.352058455732425 0.9586650479435135 1.0161601080761231 0.23203960589933198 2.0 2.00 2.00 2 111506 catalog * * 1.48e-16 * 2.62e+11 200 0
J0450-1248 72.53 -12.8 0.438014 37.04 37.0 0.11315889521571462 0.262 57122 60.8 -2.0 0 76.11 30.041 18.051 13.0 80.02036971013736 107.75035221528142 0.7701165081050734 0.9585959689861511 10.842896035100688 2.340263540753207 14.3673469388 11.00 1.20 4 93041 catalog * * 1.03e-16 * 2.15e+11 200 0
J0452-1759 73.14 -17.9 0.548939 39.9 39.9 0.14181585698361046 0.036 58058 78.3 -2.3 0 76.56 39.984 29.053 26.0 1108.6380450122956 547.5044770835934 10.941077872773468 0.9590654083845634 43.603514654663975 9.068892396610801 111.479581693 82.00 16.80 2 99429 catalog * * 5.75e-15 * 1.80e+12 200 0
